A,K,923
A,K,188
A,K,807
A,K,668
A,K,531
A,K,127
A,K,645
A,K,38
A,K,122
A,K,189
A,K,47
A,L,958
A,L,407
A,L,461
A,L,593
A,L,946
A,L,766
A,L,746
A,L,703
A,L,558
A,L,46
A,M,355
A,M,728
A,M,16
A,M,34
A,M,275
A,M,208
A,M,772
A,M,175
A,M,888
A,M,804
A,N,296
A,N,587
A,N,215
A,N,866
A,N,856
A,N,931
A,N,629
A,N,213
A,N,857
A,N,267
A,O,799
A,O,620
A,O,393
A,O,857
A,O,938
A,O,755
A,O,492
A,O,786
A,O,515
A,O,126
A,P,991
A,P,370
A,P,966
A,P,100
A,P,320
A,P,567
A,P,641
A,P,842
A,P,747
A,P,294
A,Q,586
A,Q,331
A,Q,486
A,Q,603
A,Q,180
A,Q,469
A,Q,549
A,Q,628
A,Q,229
A,Q,934
A,R,621
A,R,830
A,R,994
A,R,50
A,R,308
A,R,477
A,R,584
A,R,806
A,R,150
A,R,823
A,S,364
A,S,799
A,S,729
A,S,120
A,S,898
A,S,714
A,S,521
A,S,798
A,S,201
A,S,804
A,T,3
A,T,246
A,T,676
A,T,834
A,T,205
A,T,148
A,T,602
A,T,330
A,T,115
A,T,646
B,K,142
B,K,752
B,K,698
B,K,137
B,K,990
B,K,513
B,K,72
B,K,57
B,K,383
B,K,690
B,L,522
B,L,668
B,L,46
B,L,432
B,L,907
B,L,623
B,L,439
B,L,512
B,L,219
B,L,54
B,M,705
B,M,503
B,M,676
B,M,55
B,M,912
B,M,259
B,M,821
B,M,550
B,M,464
B,M,88
B,N,690
B,N,313
B,N,655
B,N,74
B,N,225
B,N,981
B,N,307
B,N,952
B,N,54
B,N,695
B,O,319
B,O,815
B,O,742
B,O,883
B,O,777
B,O,202
B,O,895
B,O,670
B,O,38
B,O,671
B,P,13
B,P,895
B,P,906
B,P,884
B,P,366
B,P,817
B,P,276
B,P,12
B,P,238
B,P,601
B,Q,752
B,Q,222
B,Q,874
B,Q,190
B,Q,986
B,Q,614
B,Q,800
B,Q,691
B,Q,697
B,Q,777
B,R,620
B,R,413
B,R,376
B,R,893
B,R,412
B,R,26
B,R,309
B,R,285
B,R,828
B,R,823
